Parameter;Value
Crystal System;hexagonal
Space Group;P 63/m m c (# 194)
Unit cell lengths;a = 13.6910 Å, b = 13.6910 Å, c = 29.4490 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;4780.6 cubic Å
Framework density;15.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.75 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.68 Å, b: 3.68 Å, c: 3.68 Å
Accessible volume:;17.28 %
