Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 9.8900 Å, b = 14.0640 Å, c = 14.0460 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1953.7 cubic Å
Framework density;16.4 T/1000 cubic Å
Ring sizes (# T-atoms);8 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.4 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.69 Å, b: 3.11 Å, c: 3.31 Å
Accessible volume:;9.89 %
