x,y,z,Site,Atom,Bonded Atoms,Bond Ends
14.595,7.013250000000001,1.571128,O1,O,91;105;,
12.925332,6.699056400000001,3.6015088000000004,O2,O,10;105;,
11.989306,7.418148300000001,13.6642815,O3,O,106;595;,
11.98736,7.202140200000001,8.689546400000001,O4,O,9;107;,
14.595,7.013250000000002,13.2201357,O5,O,92;106;,
13.549998,7.7980615705740855e-16,12.735201,O6,O,22;,
9.730000000000002,7.504177500000002,15.040529200000002,O7,O,595;642;,
13.363182,5.798131663624955e-16,9.4690676,O8,O,98;,
11.603998,2.1553361161847708e-17,0.3519931,O9,O,100;,
13.219178,7.737952500000001,9.608052,T1,Si,3;82;101;299,11.98736  ; 7.2021402; 8.6895464;N 14.595    ; 7.01325  ; 9.124628 ;N 12.925332 ; 7.3274436;11.1550088;N 13.363182 ; 9.351    ; 9.4690676
13.246422,6.2707806,5.137890700000001,T2,Si,1;17;86;102,12.925332 ; 6.6990564; 3.6015088;N 13.549998 ; 4.6755   ; 5.181701 ;N 14.595    ; 7.01325  ; 5.6666357;N 11.989306 ; 6.6083517; 6.1107815
11.329612,7.7865777,0.0,T3,Si,103;300,11.98736  ; 6.8243598; 1.1360464;N 11.603998 ; 9.351    ; 0.3519931
14.595,2.3377500000000007,9.124628,O1,O,79;98;,
12.925332,2.0235564000000026,11.1550088,O2,O,22;98;,
11.989306,2.7426483,6.110781500000002,O3,O,23;99;,
11.98736,2.5266402,1.1360464000000023,O4,O,21;100;,
14.595,2.3377500000000007,5.6666357000000005,O5,O,80;99;,
13.549998,4.6755,5.181701,O6,O,10;99;,
9.73,2.828677500000001,7.487029200000001,O7,O,23;69;,
13.363182,4.6755,1.9155676000000008,O8,O,21;105;,
11.603998,4.675500000000001,7.9054931,O9,O,23;107;,
13.219178,3.0624525000000014,2.054552000000002,T1,Si,15;19;70;94,11.98736  ; 2.5266402; 1.1360464;N 13.363182 ; 4.6755   ; 1.9155676;N 14.595    ; 2.33775  ; 1.571128 ;N 12.925332 ; 2.6519436; 3.6015088
13.246422,1.5952805999999995,12.6913907,T2,Si,5;13;74;95,1.35499980e+01;7.79806157e-16;1.27352010e+01;N 1.29253320e+01;2.02355640e+00;1.11550088e+01;N 1.45950000e+01;2.33775000e+00;1.32201357e+01;N 1.19893060e+01;1.93285170e+00;1.36642815e+01
11.329612,3.1110777000000005,7.5535,T3,Si,14;18;20;96,11.989306 ; 2.7426483; 6.1107815;N  9.73     ; 2.8286775; 7.4870292;N 11.603998 ; 4.6755   ; 7.9054931;N 11.98736  ; 2.1488598; 8.6895464
4.865,2.33775,1.571128,O1,O,67;119;,
3.1953320000000027,2.0235564000000017,3.6015088000000004,O2,O,34;119;,
2.2593059999999983,2.7426483000000004,13.6642815,O3,O,120;619;,
2.2573600000000025,2.526640200000001,8.689546400000001,O4,O,33;121;,
4.865000000000001,2.337750000000001,13.2201357,O5,O,68;120;,
3.819998,4.675500000000001,12.735201,O6,O,46;120;,
19.46,2.8286775000000013,15.040529200000002,O7,O,665;767;,
3.633182000000003,4.675500000000001,9.4690676,O8,O,33;112;,
