x,y,z,Site,Atom,Bonded Atoms,Bond Ends
5.628295638000001,1.5302300320000002,2.271302118,Si1,Si,4;5;6;7,4.07692524e+00;1.94978639e+00;2.18252603e+00;N 6.47775098e+00;2.50423809e+00;1.31198921e+00;N 5.80387904e+00;1.10331560e-16;1.80185112e+00;N 6.13056044e+00;1.68495250e+00;3.79385000e+00
2.526391944,1.5277516400000002,2.271226241,Si2,Si,4;8;9;10,4.07692524e+00;1.94978639e+00;2.18252603e+00;N 2.35624974e+00;1.09778671e-16;1.79282176e+00;N 2.02245293e+00;1.67291460e+00;3.79385000e+00;N 1.66124083e+00;2.49113802e+00;1.31616244e+00
3.964752765000001,5.413162184,0.0,Si3,Si,11;12;92,5.231925  ;4.4257    ;0.        ;N 2.58771011;4.58095356;0.        ;N 3.98609902;6.34716191;1.31198921
1.4946563340000003,3.402124104,0.0,Si4,Si,10;12;13,1.66124083e+00;2.49113802e+00;1.31616244e+00;N 2.58771011e+00;4.58095356e+00;0.00000000e+00;N 2.45305549e-16;4.00614364e+00;0.00000000e+00
4.076925237,1.9497863920000005,2.182526028,O1,O,0;1;,
6.477750981000001,2.504238088,1.311989207,O2,O,0;89;,
5.803879041000001,1.1033156027117132e-16,1.801851119,O3,O,0;,
6.130560438,1.6849525040000002,3.79385,O4,O,0;59;,
2.356249743,1.0977867124635683e-16,1.792821756,O5,O,1;,
2.0224529280000008,1.6729146,3.79385,O6,O,1;60;,
1.6612408260000004,2.4911380160000003,1.316162442,O7,O,1;3;,
5.231925,4.4257,0.0,O8,O,2;89;,
2.5877101050000006,4.580953556,0.0,O9,O,2;3;,
2.453055492825263e-16,4.00614364,0.0,O10,O,3;,
15.299404362000004,16.172569968,2.271302118,Si1,Si,18;19;21;308,16.85077476;15.75301361; 2.18252603;N 14.44994902;15.19856191; 1.31198921;N 14.79713956;16.0178475 ; 3.79385   ;N 15.12382096;17.7028    ; 1.80185112
18.401308056,16.175048359999998,2.271226241,Si2,Si,18;23;24;310,16.85077476;15.75301361; 2.18252603;N 18.90524707;16.0298854 ; 3.79385   ;N 19.26645917;15.21166198; 1.31616244;N 18.57145026;17.7028    ; 1.79282176
16.962947235,12.289637816,0.0,Si3,Si,25;26;79,15.695775  ;13.2771    ; 0.        ;N 18.33998989;13.12184644; 0.        ;N 16.94160098;11.35563809; 1.31198921
19.433043666,14.300675896,0.0,Si4,Si,24;26;171,19.26645917;15.21166198; 1.31616244;N 18.33998989;13.12184644; 0.        ;N 20.9277    ;13.69665636; 0.        
16.850774763,15.753013608,2.182526028,O1,O,14;15;,
14.449949019000002,15.198561912,1.311989207,O2,O,14;76;,
15.123820959,1.1033156027117132e-16,1.801851119,O3,O,64;,
14.797139562000003,16.017847495999998,3.79385,O4,O,14;54;,
18.571450257,1.0977867124635683e-16,1.792821756,O5,O,65;,
18.905247072,16.029885399999998,3.79385,O6,O,15;55;,
19.266459174,15.211661984,1.316162442,O7,O,15;17;,
15.695775,13.2771,0.0,O8,O,16;76;,
18.339989895,13.121846444,0.0,O9,O,16;17;,
8.386783185147619e-16,13.69665636,0.0,O10,O,31;,
5.628295638000002,16.172569968,5.316397882,Si1,Si,32;33;35;322, 4.07692524;15.75301361; 5.40517397;N  6.47775098;15.19856191; 6.27571079;N  6.13056044;16.0178475 ; 3.79385   ;N  5.80387904;17.7028    ; 5.78584888
2.5263919440000016,16.175048359999998,5.316473759,Si2,Si,32;37;38;324, 4.07692524;15.75301361; 5.40517397;N  2.02245293;16.0298854 ; 3.79385   ;N  1.66124083;15.21166198; 6.27153756;N  2.35624974;17.7028    ; 5.79487824
3.9647527650000014,12.289637816,0.0,Si3,Si,39;40;137, 5.231925  ;13.2771    ; 0.        ;N  2.58771011;13.12184644; 0.        ;N  3.98609902;11.35563809; 1.31198921
1.494656334000001,14.300675896,0.0,Si4,Si,27;40;73,8.38678319e-16;1.36966564e+01;0.00000000e+00;N 2.58771011e+00;1.31218464e+01;0.00000000e+00;N 1.66124083e+00;1.52116620e+01;1.31616244e+00
4.076925237000001,15.753013608,5.405173972,O1,O,28;29;,
6.477750981000002,15.198561912,6.275710793,O2,O,28;690;,
5.803879041000001,3.542810656233472e-16,5.785848881000001,O3,O,59;,
